image_id,angle,speed
478,0.4375,1
479,0.6875,0
480,0.8125,1
481,0.75,1
482,0.5,0
483,0.5,1
484,0.5,0
485,0.6875,1
486,0.6875,1
487,0.625,1
488,0.3125,0
489,0.5,0
490,0.5,0
491,0.75,1
492,0.625,0
493,0.75,1
494,0.625,0
495,0.5,0
496,0.5625,0
497,0.1875,1
498,0.1875,0
499,0.8125,1
500,0.1875,1
501,0.6875,1
502,0.8125,0
503,0.625,1
504,0.625,1
505,0.6875,1
506,0.5,1
507,0.6875,0
508,0.8125,1
509,0.5,1
510,0.1875,0
511,0.75,0
512,0.1875,0
513,0.75,1
514,0.8125,0
515,0.75,0
516,0.8125,1
517,0.4375,0
518,0.8125,0
519,0.1875,0
520,0.1875,0
521,0.5,0
522,0.5625,1
523,0.5625,1
524,0.4375,1
525,0.5,1
526,0.5,0
527,0.5625,1
528,0.5,1
529,0.75,1
530,0.5,1
531,0.5,1
532,0.5,0
533,0.5,1
534,0.4375,1
535,0.5,1
536,0.5625,1
537,0.4375,0
538,0.4375,1
539,0.625,0
540,0.6875,0
541,0.625,1
542,0.75,0
543,0.75,1
544,0.75,1
545,0.8125,1
546,0.625,0
547,0.8125,0
548,0.5,0
549,0.1875,1
550,0.8125,1
551,0.5625,1
552,0.5,1
553,0.4375,0
554,0.75,1
555,0.625,1
556,0.3125,1
557,0.3125,0
558,0.8125,1
559,0.5625,0
560,0.8125,0
561,0.1875,1
562,0.75,0
563,0.625,1
564,0.4375,1
565,0.5,0
566,0.3125,1
567,0.5,0
568,0.75,1
569,0.5625,1
570,0.1875,1
571,0.5625,1
572,0.75,1
573,0.5,0
574,0.6875,0
575,0.75,0
576,0.4375,1
577,0.5,1
578,0.1875,1
579,0.75,0
580,0.75,1
581,0.5,0
582,0.5,0
583,0.6875,0
584,0.625,1
585,0.8125,1
586,0.625,1
587,0.8125,1
588,0.5625,1
589,0.5,1
590,0.5,1
591,0.6875,1
592,0.5,1
593,0.8125,0
594,0.1875,0
595,0.4375,1
596,0.75,0
597,0.4375,1
598,0.8125,1
599,0.625,1
600,0.75,1
601,0.8125,1
602,0.5,1
603,0.5625,0
604,0.1875,0
605,0.625,1
606,0.5,1
607,0.1875,0
608,0.625,0
609,0.625,1
610,0.4375,0
611,0.5,0
612,0.75,1
613,0.5,1
614,0.5,1
615,0.75,0
616,0.5625,0
617,0.1875,0
618,0.1875,0
619,0.3125,1
620,0.5625,1
621,0.8125,1
622,0.5,1
623,0.75,0
624,0.75,1
625,0.5,1
626,0.6875,1
627,0.5,1
628,0.4375,1
629,0.625,1
630,0.5625,1
631,0.625,0
632,0.6875,1
633,0.75,0
634,0.8125,0
635,0.5625,1
636,0.4375,1
637,0.5625,0
638,0.5625,0
639,0.5,1
640,0.75,1
641,0.5625,0
642,0.4375,1
643,0.5,0
644,0.5625,1
645,0.1875,0
646,0.5625,1
647,0.75,0
648,0.4375,0
649,0.5625,1
650,0.5,1
651,0.625,1
652,0.4375,1
653,0.1875,0
654,0.625,0
655,0.75,0
656,0.625,0
657,0.75,1
658,0.5,1
659,0.4375,0
660,0.625,1
661,0.4375,0
662,0.5625,0
663,0.625,1
664,0.5,1
665,0.625,1
666,0.1875,1
667,0.5,0
668,0.75,1
669,0.5,1
670,0.3125,0
671,0.6875,0
672,0.75,1
673,0.5,1
674,0.6875,0
675,0.5,0
676,0.75,1
677,0.1875,1
678,0.6875,1
679,0.8125,1
680,0.1875,0
681,0.6875,0
682,0.5625,1
683,0.625,0
684,0.6875,0
685,0.5,1
686,0.4375,0
687,0.6875,0
688,0.75,0
689,0.8125,1
690,0.1875,1
691,0.5625,1
692,0.5,0
693,0.6875,0
694,0.5,1
695,0.5,1
696,0.75,0
697,0.4375,0
698,0.5,1
699,0.625,0
700,0.75,1
701,0.625,1
702,0.4375,1
703,0.625,0
704,0.8125,0
705,0.1875,1
706,0.75,0
707,0.75,1
708,0.75,0
709,0.6875,1
710,0.5625,0
711,0.4375,0
712,0.1875,1
713,0.6875,1
714,0.625,1
715,0.1875,1
716,0.5,0
717,0.75,0
718,0.5,1
719,0.4375,1
720,0.5,1
721,0.625,0
722,0.5,1
723,0.625,0
724,0.625,0
725,0.1875,1
726,0.1875,0
727,0.625,0
728,0.75,0
729,0.5625,0
730,0.5,1
731,0.6875,1
732,0.6875,1
733,0.5,0
734,0.625,0
735,0.5625,0
736,0.75,0
737,0.75,1
738,0.5,1
739,0.5,0
740,0.5,0
741,0.6875,1
742,0.6875,1
743,0.8125,1
744,0.625,1
745,0.8125,1
746,0.1875,1
747,0.5,0
748,0.625,0
749,0.5,1
750,0.75,0
751,0.3125,1
752,0.5625,1
753,0.625,0
754,0.6875,1
755,0.8125,1
756,0.6875,1
757,0.6875,0
758,0.75,0
759,0.6875,0
760,0.5625,0
761,0.8125,0
762,0.1875,1
763,0.5,1
764,0.8125,0
765,0.5,0
766,0.5,1
767,0.5625,0
768,0.625,1
769,0.1875,1
770,0.625,1
771,0.4375,0
772,0.8125,1
773,0.625,1
774,0.1875,1
775,0.5625,0
776,0.5,1
777,0.8125,1
778,0.8125,1
779,0.8125,0
780,0.75,0
781,0.4375,1
782,0.5,0
783,0.1875,0
784,0.4375,1
785,0.5625,1
786,0.5,0
787,0.5,0
788,0.625,0
789,0.75,1
790,0.625,1
791,0.3125,0
792,0.75,0
793,0.8125,0
794,0.1875,1
795,0.5,1
796,0.625,1
797,0.8125,0
798,0.1875,1
799,0.75,1
800,0.625,0
801,0.625,1
802,0.5,0
803,0.5625,1
804,0.1875,1
805,0.6875,1
806,0.5,1
807,0.75,0
808,0.5625,1
809,0.8125,1
810,0.5,1
811,0.75,1
812,0.6875,0
813,0.3125,1
814,0.5625,1
815,0.1875,0
816,0.5,0
817,0.75,0
818,0.6875,1
819,0.8125,1
820,0.625,0
821,0.6875,1
822,0.1875,0
823,0.3125,1
824,0.4375,0
825,0.4375,0
826,0.5,0
827,0.1875,1
828,0.625,1
829,0.625,1
830,0.6875,1
831,0.75,1
832,0.5,0
833,0.75,0
834,0.3125,0
835,0.5625,0
836,0.4375,1
837,0.625,0
838,0.8125,1
839,0.75,1
840,0.5,0
841,0.4375,1
842,0.8125,0
843,0.5625,0
844,0.1875,0
845,0.75,0
846,0.5,1
847,0.5625,1
848,0.5,0
849,0.625,1
850,0.75,1
851,0.5,1
852,0.625,1
853,0.75,0
854,0.5,0
855,0.3125,1
856,0.8125,1
857,0.75,1
858,0.5,0
859,0.625,1
860,0.8125,1
861,0.1875,1
862,0.6875,1
863,0.5,1
864,0.8125,1
865,0.5,0
866,0.5,1
867,0.5625,0
868,0.4375,0
869,0.6875,0
870,0.6875,1
871,0.4375,1
872,0.6875,1
873,0.5,1
874,0.4375,1
875,0.75,1
876,0.75,1
877,0.5,0
878,0.625,1
879,0.5,0
880,0.625,1
881,0.5,1
882,0.75,0
883,0.8125,1
884,0.5,1
885,0.4375,1
886,0.5,1
887,0.625,1
888,0.5,0
889,0.5,1
890,0.4375,1
891,0.6875,1
892,0.5,0
893,0.5,1
894,0.5,1
895,0.5,1
896,0.8125,1
897,0.75,1
898,0.75,0
899,0.6875,1
900,0.5,0
901,0.75,0
902,0.5625,1
903,0.3125,0
904,0.5,1
905,0.75,1
906,0.6875,1
907,0.75,0
908,0.8125,1
909,0.8125,1
910,0.5625,0
911,0.75,1
912,0.1875,1
913,0.1875,1
914,0.1875,1
915,0.5,0
916,0.625,1
917,0.5,0
918,0.6875,0
919,0.5,0
920,0.625,1
921,0.75,1
922,0.3125,1
923,0.625,1
924,0.625,0
925,0.75,0
926,0.75,0
927,0.75,1
928,0.6875,1
929,0.5625,1
930,0.8125,0
931,0.5625,1
932,0.4375,1
933,0.5,1
934,0.625,0
935,0.625,0
936,0.5625,0
937,0.5625,0
938,0.1875,1
939,0.5625,1
940,0.75,0
941,0.75,0
942,0.5,1
943,0.5,0
944,0.8125,1
945,0.5,1
946,0.6875,0
947,0.5625,1
948,0.5,1
949,0.1875,0
950,0.8125,1
951,0.6875,1
952,0.625,0
953,0.625,0
954,0.6875,1
955,0.625,1
956,0.5,0
957,0.625,0
958,0.3125,1
959,0.5625,1
960,0.5625,0
961,0.5,1
962,0.625,1
963,0.4375,0
964,0.1875,1
965,0.1875,1
966,0.75,1
967,0.5,1
968,0.625,1
969,0.625,1
970,0.75,1
971,0.8125,1
972,0.8125,1
973,0.3125,1
974,0.6875,1
975,0.5625,0
976,0.8125,1
977,0.75,1
978,0.5,0
979,0.4375,1
980,0.4375,0
981,0.8125,0
982,0.75,0
983,0.625,0
984,0.6875,0
985,0.75,1
986,0.5,1
987,0.4375,1
988,0.5625,0
989,0.1875,0
990,0.1875,1
991,0.4375,0
992,0.5625,1
993,0.4375,1
994,0.6875,0
995,0.8125,0
996,0.6875,0
997,0.5,1
998,0.4375,1
999,0.4375,1
1000,0.5,1
1001,0.6875,0
1002,0.8125,1
1003,0.3125,1
1004,0.1875,0
1005,0.6875,0
1006,0.5625,1
1007,0.5,1
1008,0.8125,1
1009,0.5,1
1010,0.1875,1
1011,0.8125,1
1012,0.5625,1
1013,0.75,0
1014,0.75,0
1015,0.4375,1
1016,0.75,1
1017,0.1875,1
1018,0.5625,1
1019,0.4375,0
1020,0.5625,0
